HudongItem1,relation,HudongItem2
瑞奇·马丁,languages spoken written or signed,英语
未来之路,country of origin,美国
瑞奇·马丁,languages spoken written or signed,西班牙语
未来之路,language of work or name,美国英语
Amarok,programming language,C++
纽约客,place of publication,纽约
瑞奇·马丁,occupation,歌手
Amarok,use,媒体播放器
纽约客,country of origin,美国
Aria,country of origin,苏联
纽约客,language of work or name,美国英语
Aria,country of origin,俄罗斯
瑞奇·马丁,occupation,作曲家
纽约客,language of work or name,英语
Aria,language used,俄语
Aria,language used,英语
Aria,website account on,YouTube
瑞奇·马丁,occupation,作家
瑞奇·马丁,residence,洛杉矶
贝鲁特,twinned administrative body,雅典
沃纳·海森堡,languages spoken written or signed,德语
Aria,different from,Aria
贝鲁特,twinned administrative body,洛杉矶
贝鲁特,twinned administrative body,马赛
贝鲁特,twinned administrative body,莫斯科
沃纳·海森堡,occupation,物理学家
贝鲁特,twinned administrative body,蒙特利尔
贝鲁特,twinned administrative body,墨西哥城
沃纳·海森堡,field of work,数学
贝鲁特,twinned administrative body,巴格达
贝鲁特,twinned administrative body,里约热内卢
沃纳·海森堡,employer,哥本哈根大学
沃纳·海森堡,member of,瑞典皇家科学院
沃纳·海森堡,award received,诺贝尔物理学奖
触摸未来,narrative location,纽约
触摸未来,narrative location,洛杉矶
沃纳·海森堡,nominated for,诺贝尔物理学奖
沃纳·海森堡,nominated for,诺贝尔物理学奖
沃纳·海森堡,nominated for,诺贝尔物理学奖
沃纳·海森堡,nominated for,诺贝尔物理学奖
沃纳·海森堡,nominated for,诺贝尔物理学奖
沃纳·海森堡,nominated for,诺贝尔物理学奖
博茨瓦纳,instance of,国家
行星系,has parts of the class,恒星
瑞士人,native language,瑞士德语
毛岸英,sex or gender,男
陈梦熊,sex or gender,男
行星系,has parts of the class,行星
矛盾律,different from,排中律
陈梦熊,country of citizenship,中华人民共和国
爱情进化论,country of origin,中华人民共和国
毛岸英,country of citizenship,中华人民共和国
行星系,has parts of the class,彗星
瑞士人,native language,罗曼什语
太原科技大学,country,中华人民共和国
中国科学院国家授时中心,country,中华人民共和国
20世纪,follows,19世纪
亚历山大·谢尔盖耶维奇·普希金,sex or gender,男
毛岸英,allegiance,中华人民共和国
陈梦熊,sibling,陈梦家
行星系,does not have part,恒星
大卫·贝克汉姆,sex or gender,男
马克西姆·高尔基,sex or gender,男
恐龙,instance of,演化支
萧公权,sex or gender,男
博茨瓦纳,official language,英语
瑞士人,languages spoken written or signed,法语
大卫·贝克汉姆,country of citizenship,英格兰
第三人称射击游戏,subclass of,射击游戏
中国科学院国家授时中心,parent organization,中国科学院
天火,country of origin,美国
古英语,culture,英格兰
瑞士人,languages spoken written or signed,意大利语
大卫·贝克汉姆,country for sport,英格兰
马克西姆·高尔基,country of citizenship,苏联
天火,country of origin,意大利
陈梦熊,educated at,国立西南联合大学
恐龙,temporal range start,三叠纪
天火,original language of film or TV show,英语
亚历山大·谢尔盖耶维奇·普希金,place of birth,莫斯科
博茨瓦纳,continent,非洲
瑞士人,religion,天主教
古英语,replaced by,中古英语
毛岸英,father,毛泽东
星际战争,genre,科幻小说
萧公权,employer,清华大学
纽约,named after,阿姆斯特丹
萧公权,educated at,清华大学
纽约,country,美国
纽约,capital of,美国
马克西姆·高尔基,native language,俄语
纽约,located in the administrative territorial entity,纽约州
大卫·贝克汉姆,native language,英语
马克西姆·高尔基,languages spoken written or signed,俄语
大卫·贝克汉姆,languages spoken written or signed,英语
马克西姆·高尔基,writing languages,俄语
星际战争,place of publication,英格兰
星际战争,country of origin,英国
马克西姆·高尔基,occupation,作家
星际战争,language of work or name,英语
毛岸英,member of political party,中国共产党
大卫·贝克汉姆,occupation,博主
博茨瓦纳,diplomatic relation,德国
亚历山大·谢尔盖耶维奇·普希金,native language,俄语
博茨瓦纳,diplomatic relation,澳大利亚
纽约,located in or next to body of water,大西洋
亚历山大·谢尔盖耶维奇·普希金,languages spoken written or signed,法语
博茨瓦纳,diplomatic relation,纳米比亚
亚历山大·谢尔盖耶维奇·普希金,languages spoken written or signed,俄语
亚历山大·谢尔盖耶维奇·普希金,writing languages,俄语
大卫·贝克汉姆,league,英格兰足球超级联赛
亚历山大·谢尔盖耶维奇·普希金,writing languages,法语
毛岸英,military branch,中国人民志愿军
博茨瓦纳,diplomatic relation,美国
博茨瓦纳,diplomatic relation,俄罗斯
博茨瓦纳,diplomatic relation,中华人民共和国
大卫·贝克汉姆,residence,洛杉矶
博茨瓦纳,diplomatic relation,赞比亚
博茨瓦纳,member of,联合国
马克西姆·高尔基,residence,莫斯科
博茨瓦纳,member of,世界贸易组织
亚历山大·谢尔盖耶维奇·普希金,occupation,作家
博茨瓦纳,member of,国际开发协会
亚历山大·谢尔盖耶维奇·普希金,field of work,翻译
大卫·贝克汉姆,religion,基督教
大卫·贝克汉姆,sport,足球
博茨瓦纳,member of,国际电信联盟
亚历山大·谢尔盖耶维奇·普希金,residence,莫斯科
博茨瓦纳,member of,世界气象组织
纽约,twinned administrative body,耶路撒冷
亚历山大·谢尔盖耶维奇·普希金,residence,莫斯科
博茨瓦纳,shares border with,纳米比亚
博茨瓦纳,shares border with,赞比亚
纽约,twinned administrative body,奥斯陆
博茨瓦纳,language used,英语
亚历山大·谢尔盖耶维奇·普希金,genre,散文
亚历山大·谢尔盖耶维奇·普希金,influenced by,但丁·阿利吉耶里
亚历山大·谢尔盖耶维奇·普希金,influenced by,约翰·沃尔夫冈·冯·歌德
亚历山大·谢尔盖耶维奇·普希金,influenced by,威廉·莎士比亚
亚历山大·谢尔盖耶维奇·普希金,influenced by,珀西·比希·雪莱
需求分析,part of,软件开发
胡宁,sex or gender,男
中国建设银行,instance of,银行
胡宁,country of citizenship,中华人民共和国
王庸,sex or gender,男
赵访熊,educated at,哈佛大学
中国建设银行,instance of,企业
Pocket,instance of,出版社
山打根,country,马来西亚
王庸,country of citizenship,宋朝
赵雅芝,country of citizenship,中华人民共和国
关士聪,country of citizenship,中华人民共和国
新青年,language of work or name,汉语
韩愈,sex or gender,男
Pocket,country,法国
TM,sex or gender,男
中国科学院自动化研究所,instance of,研究所
卡洛琳妮·康宁汉姆,country of citizenship,澳大利亚
TM,country of citizenship,德国
中国科学院自动化研究所,country,中华人民共和国
山西财经大学,country,中华人民共和国
中国建设银行,country,中华人民共和国
赵雅芝,place of birth,香港
apk,instance of,蛋白质
游戏服务器,subclass of,服务器软件
日历,instance of,应用软件
疯狂的赛车,country of origin,中华人民共和国
宋芸桦,country of citizenship,中华人民共和国
邓家佳,country of citizenship,中华人民共和国
卡洛琳妮·康宁汉姆,place of birth,悉尼
德国联邦宪法法院,country,德国
中国建设银行,legal form,上市公司
关士聪,educated at,国立西南联合大学
成都理工大学,country,中华人民共和国
apk,subclass of,蛋白质
德国联邦宪法法院,applies to jurisdiction,德国
巴塞尔机场,named after,欧洲
胡宁,employer,清华大学
丹麦国旗,instance of,国旗
姚建铨,country of citizenship,中华人民共和国
疯狂的赛车,director,宁浩
中国科学院自动化研究所,parent organization,中国科学院
胡宁,employer,北京大学
路阳,sex or gender,男
阮经天,sex or gender,男
丹麦国旗,applies to jurisdiction,丹麦
中国人民大学,country,中华人民共和国
疯狂的赛车,cast member,黄渤
TM,place of death,苏黎世
日历,different from,日历
疯狂的赛车,cast member,郭涛
胡宁,educated at,清华大学
谢义炳,country of citizenship,中华人民共和国
中国远征军,conflict,第二次世界大战
太原师范学院,country,中华人民共和国
洋葱,this taxon is source of,洋葱
姚建铨,educated at,天津大学
TM,languages spoken written or signed,德语
巴塞尔机场,country,法国
刘钧,sex or gender,男
后汉书,country of origin,中华人民共和国
阮经天,family name,胡安
阿普唑仑,medical condition treated,焦虑症
胡宁,educated at,浙江大学
吉列尔莫·斯塔比莱,sex or gender,男
规模,language of work or name,汉语
黄河科技学院,country,中华人民共和国
后汉书,language of work or name,文言文
奇幻之旅,place of publication,美国
韩愈,languages spoken written or signed,汉语
吉列尔莫·斯塔比莱,country of citizenship,阿根廷
规模,published in,城市规划
机器人学,different from,控制论
刘钧,country of citizenship,宋朝
丹麦国旗,color,红色
罗曼,said to be the same as,罗曼
奇幻之旅,country of origin,英国
吉列尔莫·斯塔比莱,country for sport,阿根廷
谢义炳,educated at,清华大学
韩愈,occupation,哲学家
胡宁,different from,胡宁
谢义炳,educated at,浙江大学
韩愈,occupation,作家
谢义炳,educated at,芝加哥大学
罗曼,said to be the same as,罗马
罗曼,said to be the same as,罗曼
吉列尔莫·斯塔比莱,languages spoken written or signed,西班牙语
韩愈,field of work,哲学
宾夕法尼亚大学,country,美国
吉列尔莫·斯塔比莱,sport,足球
Steve,language of work or name,英语
1st,instance of,序数
老舍,sex or gender,男
广东步步高电子工业有限公司,instance of,商业
陈类,subclass of,示性类
中华人民共和国全国人民代表大会,instance of,一院制
马歌,country of citizenship,中华人民共和国
老舍,country of citizenship,中华人民共和国
广东步步高电子工业有限公司,instance of,企业
Steve,different from,Steve
河西区,country,中华人民共和国
闻一多,sex or gender,男
西南交通大学,country,中华人民共和国
老舍,country of citizenship,中国
电子表格,instance of,计算机程序
吉祥,writing system,汉字
魏大勋,sex or gender,男
林珈安,occupation,歌手
广东步步高电子工业有限公司,founded by,段永平
黄祖洽,sex or gender,男
闻一多,country of citizenship,中国
魏大勋,country of citizenship,中国
韩语,country,中华人民共和国
规律,subclass of,原理
北京大学口腔医学院,country,中华人民共和国
电子表格,subclass of,应用软件
中华人民共和国全国人民代表大会,chairperson,张德江
规律,part of,范式
汪洋,sex or gender,男
黄祖洽,occupation,物理学家
中华人民共和国全国人民代表大会,country,中华人民共和国
战略,subclass of,计划
SNK,instance of,商业
规律,has parts of the class,规则
汪洋,country of citizenship,中华人民共和国
有害垃圾,subclass of,垃圾
孟美岐,country of citizenship,中华人民共和国
中华人民共和国全国人民代表大会,applies to jurisdiction,中华人民共和国
林珈安,religion,新教
丁海寅,sex or gender,男
SNK,instance of,企业
黄祖洽,educated at,清华大学
韩语,linguistic typology,黏着语
扎克·兰多夫,sex or gender,男
瓦隆,official language,法语
VLR,country,美国
山东科技大学,country,中华人民共和国
前锋,has part,中锋
字符,part of,文本
规律,different from,法律
孟美岐,languages spoken written or signed,普通话
扎克·兰多夫,country of citizenship,美国
瓦隆,official language,德语
米拉·乔沃维奇,country of citizenship,苏联
伊比利亚半岛,continent,欧洲
SNK,country,日本
stamp,material used,纸
